year,CDHW29_days,CDHW30_days,country_iso,country
1981,0.012552143533436883,0.009248947866742968,AFG,Afghanistan
1981,0.6164874165729289,0.5606000194294846,ALB,Albania
1981,0.1445783322877385,0.030120484696398327,DZA,Algeria
1981,42.129384490913615,30.744190316156335,AGO,Angola
1981,7.364034487904689,4.80625032139073,ARG,Argentina
1981,0.0,0.0,ARM,Armenia
1981,4.383253722018114,3.992822966507177,AUS,Australia
1981,0.0,0.0,AUT,Austria
1981,0.0,0.0,AZE,Azerbaijan
1981,14.432245019449466,13.588464665311916,BGD,Bangladesh
1981,0.0,0.0,BLR,Belarus
1981,0.0,0.0,BEL,Belgium
1981,0.0,0.0,BLZ,Belize
1981,0.9464510451699245,0.8763435603425227,BEN,Benin
1981,0.0,0.0,BTN,Bhutan
1981,4.079759184204751,3.6186375824092307,BOL,Bolivia
1981,0.0,0.0,BIH,Bosnia and Herzegovina
1981,14.940321488074055,13.289411187502497,BWA,Botswana
1981,36.86394451486631,31.50775258749539,BRA,Brazil
1981,2.1645895137443785,1.703712177488837,BGR,Bulgaria
1981,10.13591105861882,10.114849424072911,BFA,Burkina Faso
1981,1.7629873203781241,0.35752493369432403,BDI,Burundi
1981,21.960141799345504,21.143922966588963,KHM,Cambodia
1981,18.642033317239385,15.11924748217855,CMR,Cameroon
1981,0.17754011330853267,0.05604259845758992,CAN,Canada
1981,15.498241766870064,13.478751177763819,CAF,Central African Republic
1981,18.212474047249344,18.09944279858979,TCD,Chad
1981,0.02024446006660867,0.0005092946049622753,CHL,Chile
1981,14.38250915407133,10.699162467712384,CHN,China
1981,1.5207883716832304,1.2880646203361197,COL,Colombia
1981,0.0,0.0,CRI,Costa Rica
1981,0.0,0.0,HRV,Croatia
1981,88.95989450148724,80.5881473669522,CUB,Cuba
1981,0.0,0.0,CZE,Czechia
1981,40.4662566404887,34.7366009218723,COD,Democratic Republic of the Congo
1981,0.0,0.0,DOM,Dominican Republic
1981,28.24094877927769,21.521354489795684,TLS,East Timor
1981,12.675340440239086,12.063375676587155,ECU,Ecuador
1981,0.0,0.0,EGY,Egypt
1981,0.16143076567070028,0.16143076567070028,SLV,El Salvador
1981,28.000000624081334,19.000000156020334,GNQ,Equatorial Guinea
1981,15.126628243439715,12.824332226731768,ERI,Eritrea
1981,15.292501390817451,11.408397236771421,ETH,Ethiopia
1981,0.0,0.0,FRA,France
1981,0.0,0.0,GAB,Gabon
1981,6.93628909652617,6.875558659868963,GMB,Gambia
1981,0.0,0.0,GEO,Georgia
1981,0.0,0.0,DEU,Germany
1981,9.052648880461991,8.507935247129755,GHA,Ghana
1981,1.8068045735828013,1.21668312710254,GRC,Greece
1981,3.6266006431204705,3.6266006431204705,GTM,Guatemala
1981,33.36434659090909,32.44549494370309,GIN,Guinea
1981,16.993770278206718,16.993770278206718,GNB,Guinea-Bissau
1981,0.0,0.0,GUY,Guyana
1981,0.0,0.0,HTI,Haiti
1981,0.0,0.0,HND,Honduras
1981,0.0,0.0,HUN,Hungary
1981,11.714206378142018,10.774831730263369,IND,India
1981,8.867285601189538,8.696731900578172,IDN,Indonesia
